,TRIP_MILES,TRIP_SECONDS,FARE,COMPANY,TIP_RATE,TRIP_MINUTES
57,0.5,420,6.0,Top Cab Affiliation,0.0,7.0
58,1.0,840,8.5,Taxi Affiliation Services,0.0,14.0
59,0.5,420,5.75,Choice Taxi Association,0.0,7.0
60,1.05,878,9.0,Sun Taxi,0.0,14.633333333333333
61,1.03,861,9.0,Sun Taxi,33.3,14.35
62,4.72,3942,30.0,Star North Taxi Management Llc,0.0,65.7
63,1.59,1327,11.75,Sun Taxi,25.5,22.116666666666667
64,1.4,1168,10.25,Chicago Independents,0.0,19.466666666666665
65,1.29,1075,9.0,Sun Taxi,5.8,17.916666666666668
66,0.81,674,7.25,Flash Cab,0.0,11.233333333333333
67,0.6,497,6.25,City Service,0.0,8.283333333333333
68,4.01,3314,28.0,Patriot Taxi Dba Peace Taxi Associat,0.0,55.233333333333334
69,1.3,1072,10.0,Chicago Taxicab,0.0,17.866666666666667
70,0.57,470,6.0,Medallion Leasin,33.3,7.833333333333333
71,0.94,774,9.0,City Service,17.2,12.9
72,1.97,1621,13.75,Sun Taxi,20.7,27.016666666666666
73,2.7,2220,17.25,Taxi Affiliation Services,31.6,37.0
74,0.56,460,6.0,Blue Ribbon Taxi Association,66.7,7.666666666666667
75,1.42,1166,10.5,City Service,20.8,19.433333333333334
76,1.9,1560,13.0,Taxi Affiliation Services,25.8,26.0
77,0.94,769,8.0,Flash Cab,0.0,12.816666666666666
78,1.43,1167,11.0,Flash Cab,0.0,19.45
79,2.71,2209,17.5,City Service,0.0,36.81666666666667
80,1.14,929,9.25,Medallion Leasin,24.2,15.483333333333333
81,0.76,614,7.25,Sun Taxi,0.0,10.233333333333333
82,1.81,1461,12.5,City Service,25.9,24.35
83,1.66,1339,11.75,City Service,0.0,22.316666666666666
84,4.03,3250,26.25,Sun Taxi,0.0,54.166666666666664
85,1.25,1005,20.0,Flash Cab,20.5,16.75
86,4.39,3526,29.5,Patriot Taxi Dba Peace Taxi Associat,0.0,58.766666666666666
87,2.15,1722,14.25,Flash Cab,0.0,28.7
88,0.6,480,6.25,Top Cab Affiliation,48.0,8.0
89,0.6,480,6.25,U Taxicab,16.0,8.0
90,0.6,480,6.0,Taxi Affiliation Services,50.0,8.0
91,0.6,480,6.25,Taxi Affiliation Services,0.0,8.0
92,0.9,720,7.75,Top Cab Affiliation,0.0,12.0
93,2.7,2160,16.75,Taxi Affiliation Services,20.6,36.0
94,4.27,3405,27.75,Flash Cab,0.0,56.75
95,1.4,1116,10.5,Chicago Independents,0.0,18.6
96,1.61,1283,9.0,Flash Cab,17.2,21.383333333333333
97,0.62,494,6.25,Flash Cab,0.0,8.233333333333333
98,2.71,2156,17.5,Flash Cab,0.0,35.93333333333333
99,0.52,413,5.75,City Service,52.2,6.883333333333334
100,0.79,626,7.25,Sun Taxi,0.0,10.433333333333334
101,0.51,404,5.75,Globe Taxi,17.4,6.733333333333333
102,1.64,1297,9.0,Sun Taxi,22.9,21.616666666666667
103,1.42,1123,10.5,Flash Cab,0.0,18.716666666666665
104,2.08,1644,14.5,Flash Cab,0.0,27.4
105,0.5,395,60.87,Flash Cab,0.0,6.583333333333333
106,0.57,450,6.0,24 Seven Taxi,37.5,7.5
107,2.19,1726,9.69,Star North Taxi Management Llc,23.0,28.766666666666666
108,1.6,1260,11.25,Taxi Affiliation Services,0.0,21.0
109,0.61,480,6.25,Flash Cab,0.0,8.0
110,1.3,1020,9.5,Top Cab Affiliation,0.0,17.0
111,1.3,1020,9.75,Taxi Affiliation Services,21.0,17.0
112,1.1,862,8.75,Flash Cab,0.0,14.366666666666667
113,1.25,978,9.5,Sun Taxi,31.6,16.3
114,1.78,1389,12.25,Taxicab Insurance Agency Llc,0.0,23.15
115,2.0,1560,13.25,Taxi Affiliation Services,20.8,26.0
116,1.0,780,8.0,U Taxicab,25.0,13.0
117,1.0,780,8.5,U Taxicab,23.5,13.0
118,1.0,780,8.0,Taxi Affiliation Services,25.0,13.0
119,2.42,1887,16.25,Flash Cab,0.0,31.45
120,1.51,1174,11.25,Medallion Leasin,0.0,19.566666666666666
121,4.79,3721,30.0,Flash Cab,0.0,62.016666666666666
122,1.73,1340,12.25,Flash Cab,0.0,22.333333333333332
123,5.07,3917,30.0,City Service,0.0,65.28333333333333
124,0.7,540,6.5,Choice Taxi Association,10.0,9.0
125,0.7,540,8.0,"Taxicab Insurance Agency, LLC",0.0,9.0
126,2.13,1635,13.5,Sun Taxi,22.2,27.25
127,5.13,3936,30.25,Flash Cab,0.0,65.6
128,1.8,1380,12.25,Taxi Affiliation Services,24.5,23.0
129,2.43,1863,15.25,Sun Taxi,25.8,31.05
130,6.97,5343,45.0,Flash Cab,0.2,89.05
131,1.66,1269,11.75,Star North Taxi Management Llc,0.0,21.15
132,0.67,512,6.5,Sun Taxi,61.5,8.533333333333333
133,1.8,1375,12.25,Sun Taxi,0.0,22.916666666666668
134,1.1,840,9.75,"Taxicab Insurance Agency, LLC",21.0,14.0
135,1.1,840,10.0,"Taxicab Insurance Agency, LLC",0.0,14.0
136,0.54,412,5.25,City Service,0.0,6.866666666666666
137,1.81,1378,9.82,24 Seven Taxi,0.0,22.966666666666665
138,0.94,715,7.5,Sun Taxi,0.0,11.916666666666666
139,0.5,380,4.75,Chicago Taxicab,0.0,6.333333333333333
140,1.9,1440,13.25,Taxi Affiliation Services,0.0,24.0
141,0.73,553,6.75,Sun Taxi,0.0,9.216666666666667
142,0.67,507,6.5,City Service,25.0,8.45
143,1.52,1150,11.5,Taxicab Insurance Agency Llc,0.0,19.166666666666668
144,1.55,1172,11.5,Medallion Leasin,0.0,19.533333333333335
145,1.48,1119,10.75,Sun Taxi,0.0,18.65
146,5.0,3780,28.25,Taxi Affiliation Services,30.4,63.0
147,2.15,1625,14.0,Sun Taxi,25.9,27.083333333333332
148,3.42,2580,20.5,Flash Cab,0.0,43.0
149,4.3,3242,26.25,Flash Cab,0.0,54.03333333333333
150,0.58,436,6.0,Taxicab Insurance Agency Llc,0.0,7.266666666666667
151,1.57,1179,9.0,Medallion Leasin,17.2,19.65
152,2.0,1500,12.75,Taxi Affiliation Services,25.8,25.0
153,1.2,900,10.5,Globe Taxi,19.0,15.0
154,0.6,450,5.75,Chicago Taxicab,0.0,7.5
155,1.6,1200,11.0,Chicago Independents,20.9,20.0
156,0.8,600,7.0,Choice Taxi Association,0.0,10.0
157,0.8,600,7.25,Taxi Affiliation Services,0.0,10.0
158,2.84,2120,17.0,24 Seven Taxi,10.3,35.333333333333336
159,0.5,372,5.75,Flash Cab,0.0,6.2
160,1.7,1261,11.75,Globe Taxi,0.0,21.016666666666666
161,1.7,1260,11.25,Taxi Affiliation Services,0.0,21.0
162,1.0,740,7.5,Chicago Independents,0.0,12.333333333333334
163,5.5,4070,31.25,Flash Cab,0.0,67.83333333333333
164,4.04,2989,23.5,Flash Cab,0.0,49.81666666666667
165,1.24,917,9.25,Flash Cab,0.0,15.283333333333333
166,0.84,621,7.0,Medallion Leasin,0.0,10.35
167,1.3,961,8.0,Flash Cab,21.3,16.016666666666666
168,0.8,591,7.25,Flash Cab,34.3,9.85
169,1.17,864,9.0,Sun Taxi,0.0,14.4
170,1.3,960,9.5,Choice Taxi Association,21.1,16.0
171,1.37,1011,9.0,Sun Taxi,66.7,16.85
172,1.96,1445,10.44,Chicago Independents,23.0,24.083333333333332
173,0.53,390,5.5,City Service,26.7,6.5
174,0.7,515,6.25,Chicago Independents,32.0,8.583333333333334
175,1.29,949,9.5,Sun Taxi,0.0,15.816666666666666
176,1.77,1302,11.75,City Service,17.0,21.7
177,1.0,735,8.0,Chicago Independents,21.3,12.25
178,2.8,2057,37.0,Flash Cab,0.0,34.28333333333333
179,0.52,382,5.75,City Service,29.6,6.366666666666666
180,1.65,1212,11.0,Blue Ribbon Taxi Association,15.6,20.2
181,1.08,793,8.25,Sun Taxi,0.0,13.216666666666667
182,1.0,734,7.75,Medallion Leasin,0.0,12.233333333333333
183,0.9,660,7.5,Taxi Affiliation Services,26.7,11.0
184,0.9,660,7.5,U Taxicab,0.0,11.0
185,0.9,660,11.0,"Taxicab Insurance Agency, LLC",0.0,11.0
186,1.3,953,9.25,Sun Taxi,39.0,15.883333333333333
187,0.5,366,5.5,Sun Taxi,0.0,6.1
188,0.88,644,7.25,City Service,24.2,10.733333333333333
189,1.58,1155,10.75,Globe Taxi,17.0,19.25
190,0.54,394,5.5,Sun Taxi,0.0,6.566666666666666
191,4.31,3141,24.75,Sun Taxi,0.0,52.35
192,1.22,889,9.0,Flash Cab,22.9,14.816666666666666
193,0.6,437,6.0,Globe Taxi,0.0,7.283333333333333
194,2.87,2086,13.5,Medallion Leasin,0.0,34.766666666666666
195,1.13,821,9.0,Blue Ribbon Taxi Association,22.9,13.683333333333334
196,0.57,414,6.0,Flash Cab,0.0,6.9
197,1.22,886,9.0,City Service,0.0,14.766666666666667
198,1.68,1219,9.0,Sun Taxi,23.0,20.316666666666666
199,0.71,515,6.5,Sun Taxi,18.2,8.583333333333334
200,1.86,1349,11.75,City Service,25.9,22.483333333333334
201,5.3,3842,31.5,Flash Cab,0.0,64.03333333333333
202,2.51,1817,15.25,Chicago Independents,12.3,30.283333333333335
203,0.83,600,7.0,City Service,0.0,10.0
204,0.59,426,9.0,Taxicab Insurance Agency Llc,23.0,7.1
205,4.89,3528,29.75,Flash Cab,0.0,58.8
206,0.63,454,6.0,Flash Cab,50.0,7.566666666666666
207,0.5,360,5.5,Chicago Independents,23.1,6.0
208,1.5,1080,11.5,Globe Taxi,20.9,18.0
209,0.5,360,5.25,Choice Taxi Association,0.0,6.0
210,0.5,360,5.5,Taxi Affiliation Services,0.0,6.0
211,0.5,360,5.5,Taxi Affiliation Services,0.0,6.0
212,0.5,360,5.5,Top Cab Affiliation,0.0,6.0
213,0.5,360,5.5,"Taxicab Insurance Agency, LLC",0.0,6.0
214,5.91,4254,33.75,Flash Cab,0.0,70.9
215,1.04,745,9.0,City Service,28.8,12.416666666666666
216,1.51,1080,10.0,City Service,100.0,18.0
217,5.07,3625,30.25,Blue Ribbon Taxi Association,0.0,60.416666666666664
218,0.73,521,6.5,City Service,0.0,8.683333333333334
219,3.2,2280,38.0,Choice Taxi Association,20.2,38.0
220,0.66,470,6.0,Flash Cab,0.0,7.833333333333333
221,0.67,477,9.0,Taxicab Insurance Agency Llc,23.0,7.95
222,1.07,761,8.0,Sun Taxi,0.0,12.683333333333334
223,0.84,597,7.0,Flash Cab,0.0,9.95
224,0.53,376,5.5,Flash Cab,0.0,6.266666666666667
225,1.1,780,8.75,"Taxicab Insurance Agency, LLC",0.0,13.0
226,0.57,404,5.75,Flash Cab,52.2,6.733333333333333
227,2.42,1713,14.75,Flash Cab,33.9,28.55
228,1.04,736,7.75,Taxicab Insurance Agency Llc,0.0,12.266666666666667
229,7.43,5257,29.0,Flash Cab,0.0,87.61666666666666
230,1.08,764,8.0,Chicago Independents,21.3,12.733333333333333
231,2.48,1751,15.5,Medallion Leasin,0.0,29.183333333333334
232,1.7,1200,11.0,U Taxicab,18.2,20.0
233,3.02,2129,17.75,Taxicab Insurance Agency Llc,20.5,35.483333333333334
234,6.22,4384,35.0,Flash Cab,0.0,73.06666666666666
235,0.74,521,6.5,Flash Cab,0.0,8.683333333333334
236,0.5,352,5.5,Flash Cab,0.0,5.866666666666666
237,6.11,4295,34.5,Flash Cab,0.0,71.58333333333333
238,0.9,632,7.5,Globe Taxi,45.5,10.533333333333333
239,3.01,2113,19.25,Taxicab Insurance Agency Llc,0.0,35.21666666666667
240,0.63,442,9.0,City Service,23.0,7.366666666666666
241,4.0,2806,25.25,Globe Taxi,0.0,46.766666666666666
242,1.34,939,9.5,Star North Taxi Management Llc,31.6,15.65
243,0.6,420,5.75,Taxi Affiliation Services,0.0,7.0
244,0.6,420,6.75,"Taxicab Insurance Agency, LLC",59.3,7.0
245,1.2,840,9.0,Taxi Affiliation Services,22.2,14.0
246,1.2,840,9.0,Taxi Affiliation Services,11.1,14.0
247,0.6,420,6.0,Taxi Affiliation Services,41.7,7.0
248,0.6,420,6.0,Taxi Affiliation Services,0.0,7.0
249,0.6,420,6.0,Taxi Affiliation Services,0.0,7.0
250,0.6,420,6.0,Taxi Affiliation Services,0.0,7.0
251,0.6,420,5.5,Taxi Affiliation Services,0.0,7.0
252,1.8,1260,11.5,Top Cab Affiliation,0.0,21.0
253,1.8,1260,12.0,Choice Taxi Association,0.0,21.0
254,0.64,448,6.25,Flash Cab,0.0,7.466666666666667
255,1.47,1027,9.75,Sun Taxi,0.0,17.116666666666667
256,4.9,3420,25.75,Taxi Affiliation Services,0.0,57.0
257,5.52,3851,31.75,Sun Taxi,0.0,64.18333333333334
258,2.87,2002,17.25,Flash Cab,0.0,33.36666666666667
259,4.86,3388,27.5,Flash Cab,0.0,56.46666666666667
260,0.54,376,5.5,Sun Taxi,0.0,6.266666666666667
261,2.55,1774,17.0,Patriot Taxi Dba Peace Taxi Associat,0.0,29.566666666666666
262,1.64,1140,10.5,Star North Taxi Management Llc,28.6,19.0
263,2.08,1444,13.75,City Service,0.0,24.066666666666666
264,1.79,1239,11.5,Taxicab Insurance Agency Llc,26.1,20.65
265,0.63,435,6.0,Flash Cab,66.7,7.25
266,2.0,1380,12.25,Taxi Affiliation Services,29.7,23.0
267,1.19,821,9.0,Sun Taxi,11.6,13.683333333333334
268,0.67,462,6.25,Sun Taxi,27.6,7.7
269,1.37,944,9.5,Flash Cab,0.0,15.733333333333333
270,1.27,875,9.0,City Service,0.0,14.583333333333334
271,1.86,1281,11.75,Flash Cab,0.0,21.35
272,2.46,1694,15.75,Medallion Leasin,0.0,28.233333333333334
273,0.61,420,6.0,24 Seven Taxi,0.0,7.0
274,0.72,495,6.25,Medallion Leasin,48.0,8.25
275,0.55,378,5.5,Blue Ribbon Taxi Association,0.0,6.3
276,1.3,893,9.25,Medallion Leasin,0.0,14.883333333333333
277,0.8,549,6.75,Chicago Independents,21.5,9.15
278,0.7,480,6.25,Taxi Affiliation Services,0.0,8.0
279,0.7,480,6.0,Taxi Affiliation Services,0.0,8.0
280,0.7,480,6.0,Choice Taxi Association,0.0,8.0
281,0.7,480,6.0,Taxi Affiliation Services,0.0,8.0
282,1.5,1028,10.25,Flash Cab,0.0,17.133333333333333
283,0.6,411,5.75,City Service,34.8,6.85
284,0.53,363,5.25,Flash Cab,0.0,6.05
285,5.12,3505,26.25,Sun Taxi,0.0,58.416666666666664
286,1.7,1163,11.5,Flash Cab,17.4,19.383333333333333
287,1.78,1213,9.0,Star North Taxi Management Llc,17.2,20.216666666666665
288,1.53,1042,11.0,Flash Cab,0.0,17.366666666666667
289,5.19,3534,30.25,Flash Cab,0.0,58.9
290,2.83,1927,17.25,City Service,0.0,32.11666666666667
291,0.68,463,6.25,City Service,0.0,7.716666666666667
292,5.5,3744,30.25,Flash Cab,0.0,62.4
293,0.98,667,7.5,Flash Cab,0.0,11.116666666666667
294,1.8,1225,9.0,Blue Ribbon Taxi Association,33.3,20.416666666666668
295,1.43,973,9.75,Flash Cab,0.0,16.216666666666665
296,0.76,517,6.5,Flash Cab,61.5,8.616666666666667
297,1.5,1020,17.25,"Taxicab Insurance Agency, LLC",0.0,17.0
298,1.5,1020,10.5,U Taxicab,0.0,17.0
299,2.08,1414,13.0,City Service,0.0,23.566666666666666
300,1.22,828,9.0,Sun Taxi,0.0,13.8
301,0.65,441,6.25,24 Seven Taxi,0.0,7.35
302,1.76,1193,11.5,Sun Taxi,0.0,19.883333333333333
303,2.34,1584,14.75,Flash Cab,0.0,26.4
304,0.82,555,7.0,Sun Taxi,57.1,9.25
305,0.82,555,6.5,Flash Cab,53.3,9.25
306,1.41,954,9.75,Sun Taxi,71.8,15.9
307,0.55,372,5.5,Flash Cab,0.0,6.2
308,1.08,729,7.75,Sun Taxi,25.8,12.15
309,0.8,540,9.25,"Taxicab Insurance Agency, LLC",0.0,9.0
310,0.8,540,6.5,Taxi Affiliation Services,26.7,9.0
311,1.57,1059,10.0,City Service,0.0,17.65
312,0.8,539,6.75,Chicago Independents,0.0,8.983333333333333
313,2.66,1790,15.5,Flash Cab,0.0,29.833333333333332
314,2.8,1884,16.25,Chicago Independents,20.6,31.4
315,0.89,598,7.0,Flash Cab,37.5,9.966666666666667
316,2.63,1766,15.25,Medallion Leasin,0.0,29.433333333333334
317,1.7,1140,10.5,Taxi Affiliation Services,21.0,19.0
318,0.71,475,6.25,Chicago Independents,0.0,7.916666666666667
319,0.54,361,5.5,Sun Taxi,0.0,6.016666666666667
320,0.58,387,5.5,Flash Cab,0.0,6.45
321,0.9,600,7.25,Taxi Affiliation Services,0.0,10.0
322,0.9,600,7.0,Taxi Affiliation Services,0.0,10.0
323,0.9,600,7.25,Choice Taxi Association,15.0,10.0
324,0.9,600,8.25,"Taxicab Insurance Agency, LLC",15.2,10.0
325,0.9,600,7.0,Taxi Affiliation Services,0.0,10.0
326,0.9,600,8.75,"Taxicab Insurance Agency, LLC",20.0,10.0
327,0.9,600,7.25,Blue Ribbon Taxi Association Inc.,0.0,10.0
328,0.9,600,7.5,Taxi Affiliation Services,0.0,10.0
329,0.83,553,7.25,City Service,0.0,9.216666666666667
330,1.76,1171,11.75,Flash Cab,0.0,19.516666666666666
331,0.96,638,7.25,Flash Cab,27.6,10.633333333333333
332,0.5,332,5.25,Sun Taxi,0.0,5.533333333333333
333,1.9,1260,11.75,"Taxicab Insurance Agency, LLC",21.3,21.0
334,0.51,338,5.5,Flash Cab,0.0,5.633333333333334
335,0.8,530,11.88,Flash Cab,23.0,8.833333333333334
336,5.8,3840,30.25,Top Cab Affiliation,0.0,64.0
337,0.73,483,6.25,Taxicab Insurance Agency Llc,0.0,8.05
338,0.8,529,6.5,Globe Taxi,0.0,8.816666666666666
339,1.23,813,8.75,Flash Cab,45.7,13.55
340,1.51,998,10.25,Globe Taxi,0.0,16.633333333333333
341,0.61,403,5.75,24 Seven Taxi,87.0,6.716666666666667
342,0.53,350,5.5,Flash Cab,0.0,5.833333333333333
343,2.04,1347,12.25,Flash Cab,0.0,22.45
344,3.0,1980,17.0,Choice Taxi Association,0.0,33.0
345,2.0,1320,11.75,"Taxicab Insurance Agency, LLC",0.0,22.0
346,2.0,1320,12.5,Top Cab Affiliation,0.0,22.0
347,0.79,521,6.5,Flash Cab,0.0,8.683333333333334
348,0.68,448,9.0,Chicago Independents,23.0,7.466666666666667
349,0.85,560,9.0,Blue Ribbon Taxi Association,28.8,9.333333333333334
350,1.27,836,9.0,Flash Cab,23.0,13.933333333333334
351,0.55,362,5.5,Globe Taxi,72.7,6.033333333333333
352,1.75,1151,12.25,Flash Cab,0.0,19.183333333333334
353,0.79,519,6.5,Flash Cab,0.0,8.65
354,5.55,3646,30.25,Flash Cab,0.0,60.766666666666666
355,2.53,1661,10.75,Globe Taxi,23.0,27.683333333333334
356,1.8,1180,11.25,Flash Cab,26.0,19.666666666666668
357,0.91,596,7.0,Chicago Independents,22.2,9.933333333333334
358,0.84,550,6.75,Blue Ribbon Taxi Association,0.0,9.166666666666666
359,3.3,2160,17.5,U Taxicab,8.3,36.0
360,0.76,497,6.25,Chicago Independents,48.0,8.283333333333333
361,1.62,1059,9.0,City Service,23.0,17.65
362,1.54,1006,9.75,Sun Taxi,20.5,16.766666666666666
363,1.01,659,7.5,Flash Cab,0.0,10.983333333333333
364,2.3,1500,13.25,Choice Taxi Association,0.0,25.0
365,1.17,763,8.25,Medallion Leasin,30.8,12.716666666666667
366,2.67,1741,10.92,Flash Cab,9.2,29.016666666666666
367,1.71,1115,9.02,City Service,22.8,18.583333333333332
368,1.5,977,10.25,Chicago Independents,0.0,16.283333333333335
369,5.43,3536,29.5,Flash Cab,0.0,58.93333333333333
370,1.88,1224,11.0,Flash Cab,0.0,20.4
371,1.12,729,8.25,City Service,0.0,12.15
372,1.2,780,8.0,Taxi Affiliation Services,0.0,13.0
373,2.4,1560,13.75,Choice Taxi Association,25.8,26.0
374,1.2,780,8.5,Taxi Affiliation Services,15.8,13.0
375,2.5,1620,14.25,Taxi Affiliation Services,30.9,27.0
376,4.34,2811,24.5,Flash Cab,0.0,46.85
377,1.5,971,9.5,Chicago Taxicab,28.6,16.183333333333334
378,1.63,1055,10.5,Sun Taxi,0.0,17.583333333333332
379,1.3,840,10.75,"Taxicab Insurance Agency, LLC",18.6,14.0
380,1.22,788,8.75,Medallion Leasin,114.3,13.133333333333333
381,2.7,1740,14.75,Choice Taxi Association,0.0,29.0
382,3.08,1983,16.5,City Service,20.6,33.05
383,0.9,578,7.0,Globe Taxi,0.0,9.633333333333333
384,0.64,411,6.0,Medallion Leasin,0.0,6.85
385,3.84,2465,21.0,Blue Ribbon Taxi Association,0.0,41.083333333333336
386,2.9,1860,15.25,Taxi Affiliation Services,0.0,31.0
387,1.24,794,8.5,Sun Taxi,30.0,13.233333333333333
388,1.1,704,7.75,Medallion Leasin,0.0,11.733333333333333
389,1.05,672,8.0,Sun Taxi,0.0,11.2
390,1.3,832,9.0,Chicago Taxicab,0.0,13.866666666666667
391,1.11,710,8.0,24 Seven Taxi,0.0,11.833333333333334
392,2.23,1426,11.12,Globe Taxi,0.0,23.766666666666666
393,0.8,511,6.25,City Service,0.0,8.516666666666667
394,0.97,619,7.5,Blue Ribbon Taxi Association,40.0,10.316666666666666
395,1.95,1244,9.19,Sun Taxi,23.0,20.733333333333334
396,0.58,370,5.75,Taxicab Insurance Agency Llc,0.0,6.166666666666667
397,0.82,523,6.75,Sun Taxi,48.5,8.716666666666667
398,1.6,1020,9.75,U Taxicab,0.0,17.0
399,0.84,535,6.5,Medallion Leasin,0.0,8.916666666666666
400,6.24,3973,32.75,Flash Cab,0.0,66.21666666666667
401,5.63,3584,28.75,Flash Cab,0.2,59.733333333333334
402,3.3,2100,17.75,Choice Taxi Association,30.7,35.0
403,0.55,350,5.5,Sun Taxi,0.0,5.833333333333333
404,1.24,789,8.5,Flash Cab,0.0,13.15
405,1.71,1088,11.0,Blue Ribbon Taxi Association,27.3,18.133333333333333
406,6.7,4260,33.25,Taxi Affiliation Services,0.0,71.0
407,0.98,623,7.25,Medallion Leasin,0.0,10.383333333333333
408,0.68,432,9.0,24 Seven Taxi,23.0,7.2
409,1.7,1080,11.0,Top Cab Affiliation,0.0,18.0
410,0.87,552,7.0,Flash Cab,25.0,9.2
411,0.6,380,5.75,Chicago Independents,69.6,6.333333333333333
412,1.8,1140,10.75,Globe Taxi,0.0,19.0
413,1.04,658,7.5,Sun Taxi,0.0,10.966666666666667
414,1.45,917,9.0,Medallion Leasin,11.6,15.283333333333333
415,6.07,3835,29.5,City Service,0.0,63.916666666666664
416,1.26,796,9.0,City Service,33.3,13.266666666666667
417,1.9,1200,11.5,Taxi Affiliation Services,34.8,20.0
418,1.9,1200,11.25,Taxi Affiliation Services,0.0,20.0
419,1.19,751,8.75,Chicago Independents,0.0,12.516666666666667
420,0.87,549,7.0,City Service,0.0,9.15
421,2.71,1710,15.5,Flash Cab,0.0,28.5
422,0.91,574,7.0,Flash Cab,50.0,9.566666666666666
423,0.93,586,6.5,Chicago Independents,0.0,9.766666666666667
424,0.51,321,88.53,Flash Cab,0.0,5.35
425,0.58,364,5.5,Medallion Leasin,36.4,6.066666666666666
426,0.86,538,6.75,Flash Cab,29.6,8.966666666666667
427,0.55,344,5.5,Blue Ribbon Taxi Association,0.0,5.733333333333333
428,1.46,913,9.25,Flash Cab,21.6,15.216666666666667
429,1.62,1013,10.5,Sun Taxi,0.0,16.883333333333333
430,0.53,331,5.25,Chicago Independents,142.9,5.516666666666667
431,1.52,949,9.75,Taxicab Insurance Agency Llc,10.5,15.816666666666666
432,7.5,4680,36.5,Taxi Affiliation Services,0.0,78.0
433,1.19,742,8.0,Taxicab Insurance Agency Llc,25.0,12.366666666666667
434,1.46,910,9.75,Flash Cab,30.8,15.166666666666666
435,0.87,542,6.75,Taxicab Insurance Agency Llc,0.0,9.033333333333333
436,3.62,2253,18.75,Taxicab Insurance Agency Llc,15.4,37.55
437,0.63,392,5.75,Sun Taxi,0.0,6.533333333333333
